Country,Code,Value_max,Value_min,Value_mean,Value_median,Value_std,Annual_Growth_Rate_mean,Annual_Growth_Rate_median,Annual_Growth_Rate_std,5_Year_Growth_Rate_mean,10_Year_Growth_Rate_mean
Kenya,KEN,55339003.0,7695307.0,26738667.546875,24014487.0,14561045.016532913,3.1828906208255994,3.1962825083643898,0.6148544947034172,17.094230015318736,37.372762075747275
Kiribati,KIR,132530.0,47157.0,81998.15625,77004.0,25228.27378867113,1.6562766907549222,1.749807621533006,0.7228886477996196,8.440217277797506,17.392477198274634
"Korea, Dem. People's Rep.",PRK,26418204.0,11722953.0,20639222.65625,21589774.5,4532281.981617578,1.3011809699164698,1.4086046797419982,0.8049466638259346,6.721176675470797,13.792416844203874
"Korea, Rep.",KOR,51836239.0,25012374.0,41905669.109375,43521833.0,8084986.560318752,1.1626365438468265,0.9900015223102798,0.794226611381068,5.9046967568557855,11.963850443891412
Kosovo,XKX,2197284.0,984846.0,1666102.609375,1789521.5,318553.4154121561,0.9455333470752543,1.4837722028779643,2.1305249493578002,5.035048737783357,10.431880181105553
Kuwait,KWT,4853420.0,311060.0,2030526.71875,1804185.5,1214559.7570208667,4.643139036112717,5.116254818167465,5.928090407974389,25.123114875236368,55.26529374771143
Kyrgyz Republic,KGZ,7099750.0,2172300.0,4410158.703125,4489351.25,1317644.1366973857,1.9003057385294653,1.9096308548229413,0.7518652163724313,9.613757651633463,19.308838759602956
Lao PDR,LAO,7664993.0,2121514.0,4606362.203125,4497382.0,1717709.1354598408,2.061135632389527,2.107407567427022,0.5123778765278527,10.838815838639427,23.085681507712412
Late-demographic dividend,LTE,2326658047.0,1094880069.0,1807509002.296875,1879546324.75,388303874.9970416,1.2057772069221866,1.1206675596054927,0.6579506500332005,6.4094205652857115,13.262651535330603
Latin America & Caribbean,LCN,657611624.0,218624695.0,447799315.765625,453187124.5,137055428.79259434,1.76551373395611,1.8071090974020931,0.6616687777247927,9.201303483693232,19.346089481356174
Latin America & Caribbean (excluding high income),LAC,594995068.0,194183394.0,401716576.640625,406534208.0,124294500.15341443,1.7953757248635498,1.811406038419916,0.6599047023772028,9.356348861681997,19.637935581690723
Latin America & the Caribbean (IDA & IBRD countries),TLA,642397939.0,208671107.0,433591704.203125,438144832.5,135416208.1700559,1.803004698119342,1.8455170026506318,0.6655822029027786,9.406111961219477,19.80206117114648
Latvia,LVA,2666955.0,1877445.0,2309538.9375,2340171.5,232752.3767151166,-0.18852079725652038,-0.27100170337863716,0.9957099833416273,-1.0939446822542727,-2.40859706217522
Least developed countries: UN classification,LDC,1160824674.0,245048596.0,597219251.96875,539750374.0,269413410.6563661,2.499749209198119,2.482553973407997,0.13153657556834797,13.180862193924161,28.148861980562987
Lebanon,LBN,6472469.0,1794406.0,3844884.484375,3708141.5,1348077.8960835726,1.8920123231925472,1.9570477460548297,2.0391726134593804,10.024579870943287,22.137885914480496
Lesotho,LSO,2311472.0,736500.0,1647966.0,1857826.5,476978.5302815583,1.8402961592627842,1.6769079543351273,1.307136007515507,9.637313108509693,20.242847762009298
Liberia,LBR,5493031.0,1139522.0,2736050.375,2236414.0,1297431.4971381014,2.5762047838143327,2.7010813418641755,3.068566591732657,13.814450256273979,29.717337400204247
Libya,LBY,7305659.0,1492890.0,4421540.5625,4592376.0,1822887.1075431537,2.566414108021344,2.111433852653821,1.6980051022572062,13.653895030602412,29.79993486392905
Liechtenstein,LIE,39850.0,16451.0,29234.65625,29418.0,6787.987127642454,1.4179354573034155,1.171157941111689,0.8738791815206814,7.122118490247872,14.322779727897846
Lithuania,LTU,3704134.0,2778550.0,3248690.078125,3271901.5,298301.1655044466,0.057621336232036156,0.36867697811362454,1.0398514844065252,-0.004254477442125385,-0.24968197408105908
Low & middle income,LMY,6633109634.0,2106419056.0,4258080837.546875,4220567471.25,1389133116.287762,1.8384737024294264,1.8591731385832144,0.4611940356815731,9.691860800863475,20.424311385066904
Low income,LIC,736466395.0,136125731.0,352322013.703125,305161887.0,175132769.75574976,2.7162459926994216,2.713477776384021,0.20376066721151884,14.396574258338502,30.94339088492758
Lower middle income,LMC,3079778780.0,819047154.0,1834203765.21875,1771720766.25,700418917.6814575,2.125454055038258,2.3068868586681113,0.42302312276777637,11.19180546710026,23.916531697674547
Luxembourg,LUX,666430.0,313970.0,428411.28125,389587.5,98083.81052494976,1.2040419028890228,1.2516390511383868,0.6748803580668002,6.1107366609287554,12.44284839105887
"Macao SAR, China",MAC,685400.0,173315.0,391151.078125,361275.0,159617.4017109728,2.262811349269051,1.8920068027210801,4.026062161603067,12.344396762012826,23.73427035388307
Madagascar,MDG,31195932.0,5111029.0,14649581.90625,12611141.0,7768758.478145656,2.913080668613725,2.9615431974092665,0.2114472018463237,15.570953758569399,33.93214452450244
Malawi,MWI,21104482.0,3628134.0,10144932.8125,9989653.0,5121935.9699232215,2.838817348493909,2.7141919712413864,0.9699513922340225,15.207102195234508,33.120601217762164
Malaysia,MYS,35126298.0,7956197.0,19661710.453125,18588518.0,8607389.47583072,2.3865279644600825,2.4258796093975743,0.5368936289745068,12.711978805215564,27.532531175308282
Maldives,MDV,525994.0,91189.0,253986.953125,235172.5,126864.08474657069,2.8229564053532616,2.9859345873580745,0.7057749753781346,15.284379752395173,32.74742259992514
Mali,MLI,23769127.0,5402550.0,11226612.328125,9458214.0,5249392.808920452,2.381703285183205,2.1758037541776964,0.6800980991371894,12.578247436346356,26.93687527694612
Malta,MLT,552747.0,301996.0,373772.0625,365731.5,64838.8876435521,0.8453244444634038,0.6995787052724634,1.1482774983709927,4.280271374299308,8.64124606230574
Marshall Islands,MHL,52044.0,14703.0,38278.890625,42513.5,12662.878250659363,1.5844239527286126,1.7995084269663009,2.528229073534602,9.238229547560413,21.581299196175927
Mauritania,MRT,5022441.0,824298.0,2328239.65625,2048936.5,1199888.6565289698,2.9105618862561164,2.927629251620467,0.3393059618003591,15.452806844235639,33.24634192721903
Mauritius,MUS,1266334.0,676683.0,1054108.09375,1077353.5,188888.37509254555,0.9955506996656971,0.923909922308952,0.7274859817802332,5.1632517076462126,10.550202382346413
Mexico,MEX,129739759.0,36724615.0,84643212.984375,85237690.5,28583408.778066676,2.0267586385454424,1.9119105340184017,0.8216230114840376,10.61937438698796,22.40051749297267
"Micronesia, Fed. Sts.",FSM,112630.0,43061.0,90234.9375,103780.0,23775.12626700234,1.547614962034218,1.9039827075947091,1.4162366948238683,8.015936564977359,16.85496903802567
Middle East & North Africa,MEA,508311359.0,103189039.0,275069036.96875,265486909.0,123937754.2691031,2.564802644276605,2.6594462227717885,0.5587793775923559,13.634670471528507,29.596188690340856
Middle East & North Africa (IDA & IBRD countries),TMN,434952414.0,97138700.0,244486310.53125,240124526.0,102940457.3830946,2.409518286909703,2.429582133304309,0.5520464120633286,12.76207600150623,27.475446129518964
Middle East & North Africa (excluding high income),MNA,440118189.0,97138700.0,246350436.765625,242240744.0,104757417.10616116,2.4287969117651893,2.4481695123804714,0.5679444643501755,12.874111081295972,27.74821483053963
Middle income,MIC,5896643239.0,1970293325.0,3905758823.84375,3915405584.25,1218061614.6495328,1.75654362409327,1.7536480940364196,0.521625986371681,9.270927674892322,19.530016931331723
Moldova,MDA,2981566.0,2058020.0,2705666.828125,2811852.0,254402.50588235946,0.2881496565273047,-0.013108684276119664,1.1016056890093795,1.6738207993241399,3.714687523813442
Monaco,MCO,38956.0,21808.0,30010.984375,30756.0,4957.967832842199,0.927497143252502,0.9819367603414841,0.6956870309762636,4.83219542323456,9.999892358814476
Mongolia,MNG,3481145.0,977595.0,2126141.75,2165236.0,708650.0363650527,2.039783579764115,2.15148730406165,0.8393449191228445,10.564046167816354,21.98080381508473
Montenegro,MNE,622373.0,480579.0,584306.359375,607401.0,42506.96446778612,0.39782817091467293,0.14803873136677304,0.7208704479873703,1.8362827160457458,3.728983983606854
Morocco,MAR,37712505.0,11624933.0,24613079.671875,25005741.0,7959090.677246312,1.8874677769597188,1.667219511227347,0.6294179299722087,9.858296844163648,20.796246664131083
Mozambique,MOZ,33635160.0,6713695.0,16218895.015625,13482703.0,7662580.662191685,2.595743807795394,2.4079756822107834,1.019342262082763,13.773372418727094,29.492122878732406
Myanmar,MMR,54133798.0,21730250.0,39367816.125,40672248.0,9999233.782728756,1.4611493739191088,1.3769022121369323,0.6072291281176059,7.557530993886583,15.723890669312366
Namibia,NAM,2963095.0,591465.0,1506997.6875,1438503.0,692176.2616522277,2.594872277223582,2.6925452436286745,0.9322523538964949,13.787182447668235,29.49317405130907
Nauru,NRU,11875.0,4607.0,8866.625,9929.5,2007.0484014378633,1.5245109067582965,1.4014722536806357,1.4574850212714021,7.676579676937416,14.783686530231448
Nepal,NPL,29715436.0,10123658.0,20258114.25,20323103.5,6513597.1617927,1.7257164150192612,2.1000962893891417,0.7811998669786026,9.11931705849708,19.469600949280743
Netherlands,NLD,17877117.0,11486631.0,14988366.859375,15126982.0,1734253.2482887362,0.7050855200667119,0.6365442657626952,0.317422980203279,3.4433174834110356,6.73536333556451
New Caledonia,NCL,289870.0,79819.0,189834.21875,183655.0,67421.6618295348,2.075109720741569,1.9102980860204788,1.2000575883933418,10.969788243438515,23.818729704513206
New Zealand,NZL,5223100.0,2371800.0,3627485.9375,3513400.0,780664.0849998356,1.2642731069828852,1.1467565195231844,0.8275950729273777,6.3501371620561295,12.596643906996214
Nicaragua,NIC,6823613.0,1782370.0,4247626.265625,4308331.5,1530420.3430673406,2.1564657046632734,2.286321580923434,0.7537070887759748,11.30700422627329,23.969196691799034
Niger,NER,26159867.0,3505050.0,10803860.390625,8682266.5,6501097.5263939705,3.2425920404805315,3.167616328727374,0.3662468902789776,17.355018668745096,37.8555105756534
Nigeria,NGA,227882945.0,45053782.0,113488750.0625,101046466.0,55031007.28567561,2.6067859557260133,2.6762893784217923,0.29681854372531474,13.92238062730066,30.280132461658038
North America,NAC,375077354.0,198622564.0,287018436.25,283010037.5,53637953.56650551,1.014518087104632,0.9903499195072607,0.2566348806479363,5.151502979768425,10.598055570760202
North Macedonia,MKD,2063689.0,1435059.0,1873115.46875,1931429.5,176980.65824470524,0.3889478681092141,0.47914768597918656,0.9274359458807421,2.029551689539525,4.217805711929845
